sep=;
Catégorie;Niveau;Question;Éléments de réponse attendus;Red flag
Scala;Senior;Différence entre companion object et classe ? Pourquoi ce pattern est-il courant dans les jobs Spark ?;L'object est un singleton sérialisable statiquement : permet d'exposer des fonctions de transformation utilisables dans les closures sans capturer d'état non sérialisable.;Ne voit pas le lien avec la sérialisation des tâches.
Scala;Senior;Comment gérez-vous une implicit / given ? Avantage et danger.;Conversions et paramètres implicites (Encoders, SparkSession). Danger : lisibilité, résolution ambiguë, difficile à déboguer pour l'équipe.;Abuse des implicits pour faire 'élégant'.
Spark - Bases;Base;Qu'est-ce qu'une transformation et qu'est-ce qu'une action ? Citez-en trois de chaque et dites comment les distinguer sans documentation.;Une transformation retourne un nouveau DataFrame/RDD et n'exécute rien (map, filter, select, join, groupBy, withColumn). Une action retourne une valeur au driver ou écrit des données et déclenche l'exécution (count, collect, show, first, take, write, foreach). Règle simple : si le retour est un DataFrame c'est une transformation, sinon c'est une action.;Classe write() ou show() comme des transformations.
Spark - Bases;Base;Qu'est-ce que la lazy evaluation ? Pourquoi Spark fonctionne-t-il ainsi ?;Les transformations ne sont pas exécutées au moment de leur déclaration : Spark construit un graphe (DAG) et n'exécute qu'à l'appel d'une action. Cela lui permet d'optimiser globalement : fusion d'opérations dans une même étape, réordonnancement des filtres, élagage des colonnes inutiles, suppression du code mort.;Dit que c'est 'pour économiser la mémoire' sans parler d'optimisation du plan.
Spark - Bases;Base;Conséquence pratique de la lazy evaluation : où apparaît une erreur dans le code suivant ? Lecture d'un fichier inexistant puis filter puis count.;L'erreur remonte au count() (l'action), pas à la ligne de lecture ni au filter. Conséquence : la stack trace pointe loin de l'origine du problème, et un même DataFrame non caché est recalculé à chaque action.;Pense que l'erreur survient à la ligne read().
Spark - Bases;Base;Qu'est-ce qu'un shuffle ? Décrivez ce qui se passe physiquement.;Redistribution des données entre exécuteurs selon une clé : écriture des shuffle files sur disque local côté map, transfert réseau, lecture côté reduce. C'est l'opération la plus coûteuse de Spark (disque + réseau + sérialisation) et elle marque la frontière entre deux stages.;Décrit le shuffle comme un simple 'mélange en mémoire'.
Spark - Bases;Base;Quelles opérations déclenchent un shuffle ? Lesquelles n'en déclenchent pas ?;Avec shuffle (wide) : groupBy, join non broadcasté, distinct, repartition, orderBy/sort, reduceByKey, window. Sans shuffle (narrow) : select, filter, withColumn, map, flatMap, union, coalesce.;Croit qu'un filter ou un withColumn provoque un shuffle.
Spark - Bases;Base;Comment réduire ou optimiser les shuffles dans un job ?;"Filtrer et projeter le plus tôt possible pour réduire le volume déplacé ; broadcaster la petite table d'une jointure ; pré-agréger avant de joindre ; préférer reduceByKey à groupByKey ; ajuster spark.sql.shuffle.partitions ; réutiliser un partitionnement existant ; laisser AQE fusionner les partitions ; éviter les tris inutiles.";Ne cite que 'augmenter la mémoire' ou 'ajouter des exécuteurs'.
Spark - Bases;Base;Différence entre une transformation narrow et une transformation wide ?;Narrow : chaque partition de sortie dépend d'une seule partition d'entrée, exécution en pipeline sans échange réseau. Wide : une partition de sortie dépend de plusieurs partitions d'entrée, ce qui impose un shuffle et crée une nouvelle stage.;Ne fait pas le lien entre wide, shuffle et découpage en stages.
Spark - Bases;Base;Qu'est-ce qu'une partition Spark ? Quelle taille visez-vous et pourquoi ?;Unité de parallélisme : une partition = une tâche = un coeur occupé. Cible usuelle de 128 à 200 Mo. Trop grosses : OOM et spill. Trop petites : surcoût d'ordonnancement et multiplication des fichiers en sortie.;N'a aucun ordre de grandeur en tête.
Spark - Bases;Base;Expliquez la hiérarchie job / stage / task.;"Une action déclenche un job ; le job est découpé en stages aux frontières de shuffle ; chaque stage contient autant de tasks que de partitions, exécutées en parallèle sur les exécuteurs.";Confond stage et job, ou task et exécuteur.
Spark - Bases;Base;Quels sont les rôles respectifs du driver et des exécuteurs ?;Le driver construit le plan, planifie les stages, distribue les tasks et collecte les résultats des actions. Les exécuteurs exécutent les tasks et stockent les données cachées. Le driver est un point unique de défaillance et peut lui aussi tomber en OOM.;Pense que le driver ne fait qu'orchestrer et ne consomme pas de mémoire.
Spark - Bases;Base;Que fait collect() et pourquoi est-ce dangereux ?;Rapatrie l'intégralité du jeu de données dans la mémoire du driver. Sur un gros volume, cela provoque un OOM du driver. Alternatives : show(n), take(n), limit, ou une écriture sur disque puis une lecture ciblée.;Utilise collect() pour 'vérifier le résultat' sur des données de production.
Spark - Bases;Base;À quoi sert spark.sql.shuffle.partitions ? Quelle est sa valeur par défaut ?;Nombre de partitions produites après un shuffle SQL, 200 par défaut. Trop élevé sur un petit volume : des centaines de tâches vides et de micro-fichiers. Trop faible sur un gros volume : partitions énormes et spill. AQE ajuste dynamiquement depuis Spark 3.;Ne connaît pas ce paramètre alors qu'il dit maîtriser Spark SQL.
Spark - Bases;Base;Différence entre groupByKey et reduceByKey ? Cela s'applique-t-il aux DataFrames ?;reduceByKey agrège localement avant le shuffle (combiner côté map) et transfère beaucoup moins de données que groupByKey qui déplace toutes les valeurs. Sur DataFrame, Catalyst applique automatiquement l'agrégation partielle : le piège est propre à l'API RDD.;Répète la règle sans savoir qu'elle ne s'applique pas telle quelle aux DataFrames.
Spark - Bases;Base;Qu'est-ce qu'une variable broadcast ? En quoi diffère-t-elle d'une variable capturée par une closure ?;Une variable broadcastée est envoyée une seule fois par exécuteur et mise en cache. Une variable capturée est sérialisée et transmise avec chaque task, donc autant de fois qu'il y a de tâches. À utiliser pour les référentiels lus en boucle.;Ne voit pas la différence de coût entre les deux.
Spark - Bases;Base;Qu'est-ce que le predicate pushdown et le column pruning ? Comment vérifier qu'ils s'appliquent ?;Catalyst pousse les filtres et la sélection de colonnes au plus près de la source : sur ORC ou Parquet, les stripes et colonnes non nécessaires ne sont jamais lues. Vérification via explain() : PushedFilters et la liste des colonnes du scan.;Croit que le format de fichier n'a aucun impact sur le volume lu.
Spark - Bases;Base;Différence entre map et mapPartitions ? Cas d'usage typique.;map applique la fonction ligne à ligne, mapPartitions reçoit un itérateur sur toute la partition. Utile pour amortir une initialisation coûteuse (connexion, parseur, modèle) sur l'ensemble de la partition au lieu de la refaire à chaque ligne.;Ouvre une connexion par ligne dans un map.
Spark - Bases;Base;Comment Spark gère-t-il la panne d'un exécuteur en cours de job ?;Grâce à la lineage : le plan permet de recalculer les partitions perdues à partir de la source. Les tasks échouées sont réessayées (4 fois par défaut), et si un shuffle file est perdu la stage amont est rejouée. Le checkpoint coupe la lineage pour éviter un recalcul trop long.;Pense que Spark réplique les données comme HDFS.
Spark - Bases;Base;Que regardez-vous en premier dans la Spark UI quand un job est lent ?;L'onglet Stages : la stage la plus longue, puis la distribution des durées de tâches (min / médiane / max) pour repérer un skew, le volume Shuffle Read/Write, le spill disque, et l'onglet SQL pour le plan et les Exchange.;N'ouvre jamais la Spark UI et se fie aux logs seuls.
Spark - Bases;Base;Différence entre repartition(n) et coalesce(n) ?;repartition provoque un shuffle complet, équilibre les partitions et peut en augmenter ou réduire le nombre. coalesce fusionne sans shuffle, uniquement à la baisse, peut déséquilibrer et surtout réduit le parallélisme des étapes en amont.;Utilise coalesce(1) sur un gros volume pour obtenir un seul fichier.
Spark - Bases;Base;Que fait cache() exactement ? Quand la donnée est-elle réellement mise en cache ?;cache() est lui-même lazy : il marque le DataFrame, mais le stockage n'a lieu qu'à la première action qui le matérialise. Niveau par défaut MEMORY_AND_DISK pour un DataFrame. Penser à unpersist() pour libérer la mémoire.;Croit que cache() charge immédiatement les données en mémoire.
Spark - Bases;Base;Différence entre deploy-mode client et cluster ?;En client, le driver tourne sur la machine de soumission (pratique pour le debug interactif, sensible aux coupures réseau). En cluster, le driver tourne dans un container du cluster : mode retenu en production et pour l'ordonnancement.;Ne sait pas où s'exécute son driver en production.
Spark - Bases;Base;Un union suivi d'un distinct sur deux gros jeux de données : quel est le coût ?;union est narrow et quasi gratuit (concaténation de partitions), mais distinct impose un shuffle complet sur toutes les colonnes. Si les jeux sont disjoints par construction, le distinct est inutile et doit être supprimé.;Ajoute un distinct 'par sécurité' sans en mesurer le coût.
Spark - Bases;Base;À quoi sert un checkpoint et en quoi diffère-t-il d'un cache ?;Le checkpoint écrit les données sur un stockage fiable (HDFS) et coupe la lineage, ce qui évite un plan d'exécution qui grossit indéfiniment dans les traitements itératifs. Le cache conserve la lineage et ne survit pas à la perte d'un exécuteur.;Utilise indifféremment cache et checkpoint.
Spark - Fondamentaux;Junior;Différence entre une transformation et une action ? Citez-en trois de chaque.;Transformations lazy (map, filter, join, groupBy) vs actions déclenchantes (count, collect, write, show). La DAG n'est exécutée qu'à l'action.;Pense que map exécute immédiatement le calcul.
Spark - Fondamentaux;Junior;RDD, DataFrame, Dataset : quelles différences et lequel utiliser aujourd'hui ?;RDD bas niveau non optimisé, DataFrame = Dataset[Row] optimisé par Catalyst/Tungsten, Dataset typé (Scala/Java) avec léger surcoût d'encodage. DataFrame/Dataset par défaut.;Continue à écrire du RDD sans raison.
Spark - Fondamentaux;Junior;Expliquez ce qu'est un shuffle et quelles opérations le déclenchent.;Redistribution des données entre exécuteurs par clé, écriture disque + transfert réseau. Déclenché par groupBy, join, repartition, distinct, sortBy, reduceByKey (partiellement).;Ne sait pas identifier un shuffle dans un plan d'exécution.
Spark - Fondamentaux;Confirmé;Différence entre repartition et coalesce ? Quand utiliser l'un ou l'autre ?;repartition = shuffle complet, peut augmenter ou diminuer, rééquilibre. coalesce = fusion sans shuffle, uniquement pour réduire, peut créer des partitions déséquilibrées et réduire le parallélisme en amont.;Utilise coalesce(1) en fin de job sur un gros volume.
Spark - Fondamentaux;Confirmé;cache() vs persist() : quel niveau de stockage choisir et quand ne PAS cacher ?;MEMORY_AND_DISK par défaut pour DataFrame, MEMORY_ONLY_SER pour compacité. Ne pas cacher si la donnée n'est lue qu'une fois ou si elle sature la mémoire d'exécution.;Cache tout par réflexe.
Spark - Fondamentaux;Confirmé;Qu'est-ce qu'un broadcast join ? Quelle limite et comment le forcer ou l'interdire ?;Diffusion de la petite table à tous les exécuteurs, évite le shuffle. spark.sql.autoBroadcastJoinThreshold (10 Mo par défaut), hint broadcast(), risque d'OOM driver/exécuteur si la table est mal estimée.;Force un broadcast sur une table de plusieurs Go.
Spark - Optimisation;Confirmé;Un job qui tournait en 30 min prend maintenant 3 h sans changement de code. Votre démarche ?;Volume et distribution des données, skew, nombre de fichiers en entrée (small files), statistiques, contention YARN, changement de partitionnement amont, comparaison des Spark UI / DAG entre deux runs.;Répond immédiatement 'j'augmente la mémoire des exécuteurs'.
Spark - Optimisation;Confirmé;Comment détectez-vous et traitez-vous un data skew sur une jointure ?;Spark UI : une tâche très longue vs médiane, distribution des clés. Traitements : salting, broadcast du petit côté, AQE skew join, séparation des clés hot, pré-agrégation.;Ignore le skew et augmente le timeout.
Spark - Optimisation;Confirmé;Que fait l'Adaptive Query Execution (AQE) et qu'apporte-t-il concrètement ?;Replanification à l'exécution à partir de statistiques réelles : coalescing des partitions shuffle, conversion en broadcast join, gestion du skew. Activé par défaut depuis Spark 3.2.;Ne connaît pas AQE alors qu'il travaille en Spark 3.x.
Spark - Optimisation;Senior;Comment dimensionnez-vous executor-cores, executor-memory et num-executors sur YARN ?;3-5 cores/exécuteur, mémoire = heap + overhead (~10%), rapport avec les containers YARN et la taille des partitions (~128-200 Mo), dynamic allocation, ne pas dépasser la mémoire max container.;Donne des chiffres au hasard sans lien avec le volume ou le cluster.
Spark - Optimisation;Senior;Le driver tombe en OutOfMemory sur un job qui écrit beaucoup de tables. Causes possibles ?;collect()/toPandas, plan d'exécution énorme (lineage très longue, explain string), broadcast trop gros, accumulation de métadonnées, trop de partitions. Remèdes : checkpoint/écriture intermédiaire pour couper la lineage, spark.sql.maxPlanStringLength, mémoire driver.;Pense que le driver ne fait que de l'orchestration et ne peut pas OOM.
Spark - Optimisation;Senior;Comment lisez-vous un plan d'exécution ? Que cherchez-vous en priorité ?;explain(true) / Spark UI SQL tab : Exchange (shuffles), type de join, PartitionFilters et PushedFilters, projection des colonnes, nombre de fichiers scannés, estimation vs réel.;N'a jamais lu un plan physique.
Spark - Optimisation;Senior;Comment évitez-vous le recalcul d'une même transformation utilisée par 5 sorties différentes ?;cache/persist avec un déclencheur, ou écriture intermédiaire ORC/Parquet + relecture (coupe la lineage), checkpoint. Discussion du compromis mémoire vs I/O.;Réécrit 5 fois la même chaîne de transformations.
Spark SQL / API;Confirmé;Quelle différence entre un left join et un left anti join ? Donnez un cas d'usage métier.;left conserve tout à gauche avec nulls, left_anti ne garde que les lignes de gauche sans correspondance. Cas : contrats non appariés au référentiel, contrôle de complétude.;Ne connaît que inner et left.
Spark SQL / API;Confirmé;Comment gérer les valeurs nulles dans les jointures et agrégations ? Pièges classiques.;null != null dans les égalités (utiliser <=>), count(col) ignore les nulls contrairement à count(*), coalesce(), attention aux clés nulles qui créent du skew.;Ne sait pas que les clés nulles se concentrent sur une partition.
Spark SQL / API;Confirmé;À quoi sert une window function ? Écrivez au tableau un calcul de dernier enregistrement par contrat.;Window.partitionBy(contrat).orderBy(date desc) + row_number()==1. Discussion du coût (shuffle + tri) vs groupBy + join.;Fait une auto-jointure sur un max(date) sans gérer les ex-aequo.
Spark SQL / API;Senior;UDF vs fonctions natives : quel impact et quand une UDF est-elle acceptable ?;UDF = boîte noire pour Catalyst, pas de pushdown, sérialisation, coût. À réserver aux cas non exprimables nativement. Préférer les expressions natives, ou une UDF bien testée et documentée.;Écrit des UDF pour tout, y compris un substring.
Spark SQL / API;Senior;Comment testez-vous unitairement un job Spark ?;SparkSession locale réutilisée, jeux de données petits construits en dur, séparation transformation pure / I/O, assertions sur DataFrame (collect trié ou comparaison de schéma + contenu), tests d'intégration séparés.;Ne teste qu'en recette sur le cluster.
Hadoop / Écosystème;Confirmé;Pourquoi le format ORC ou Parquet plutôt que du CSV ? Quels bénéfices concrets ?;Colonnaire, compression, statistiques min/max par stripe/rowgroup, predicate pushdown, projection de colonnes, schéma embarqué. Gains I/O majeurs.;Ne connaît que 'c'est compressé'.
Hadoop / Écosystème;Confirmé;Qu'est-ce que le problème des small files sur HDFS et comment le corriger ?;Pression sur le NameNode, une tâche par fichier, overhead d'ouverture. Correction : repartition avant écriture, compaction périodique, taille cible 128-512 Mo par fichier.;Écrit des milliers de fichiers de quelques Ko sans s'en soucier.
Hadoop / Écosystème;Confirmé;Table Hive externe partitionnée : comment une nouvelle partition devient-elle visible ? Que faire si elle ne l'est pas ?;Écriture HDFS seule ne suffit pas : il faut enregistrer la partition dans le metastore via ALTER TABLE ADD PARTITION ou MSCK REPAIR. Diagnostic : SHOW PARTITIONS, DESCRIBE FORMATTED, droits HDFS du service Hive.;Croit que Hive détecte automatiquement les répertoires.
Hadoop / Écosystème;Confirmé;Différence entre table Hive managée et externe ? Impact d'un DROP TABLE.;Managée : Hive possède les données, DROP supprime les fichiers. Externe : seules les métadonnées sont supprimées. En prod on privilégie l'externe pour les données partagées.;A déjà perdu des données et n'en tire pas de règle.
Hadoop / Écosystème;Senior;Comment ordonnancez-vous un enchaînement de jobs (Oozie, Airflow, Control-M) ? Comment gérez-vous les reprises ?;DAG, idempotence des étapes, paramétrage par date/runId, écriture atomique (répertoire temporaire puis move), gestion des codes retour, rejeu partiel, alerting.;Aucune notion d'idempotence ou de rejeu.
Hadoop / Écosystème;Senior;Un job Spark soumis via l'ordonnanceur échoue avec NoClassDefFoundError alors qu'il tourne en local. Pistes ?;Conflit de classpath cluster vs fat jar, sharelib obsolète, scope des dépendances (Spark/Scala/logging doivent être provided), shading, version de Scala, ordre de chargement (userClassPathFirst).;Ajoute toutes les dépendances dans le fat jar pour 'être sûr'.
Hadoop / Écosystème;Senior;Comment gérez-vous les dépendances Maven d'un projet Spark (fat jar) ?;dependencyManagement / BOM, scope provided pour Spark, Scala et logging, maven-shade ou assembly, contrôle via dependency:tree, pinning des versions transitives (Jackson typiquement).;Ne sait pas lire un dependency:tree.
Qualité & Ingénierie;Confirmé;Comment garantissez-vous la reproductibilité d'un calcul réglementaire d'un run à l'autre ?;Versionnage du code et des paramètres, runId, gel des référentiels, absence de dépendance à current_timestamp/random non seedé, traçabilité des inputs, contrôle de non-régression sur un jeu de référence.;Aucune notion de reproductibilité ou d'audit.
Qualité & Ingénierie;Confirmé;Quels contrôles de qualité de données mettez-vous en place dans un pipeline ?;Comptages entrée/sortie, unicité des clés, taux de nulls, contrôle de cohérence des montants, réconciliation avec la source, seuils d'alerte, table de rejets plutôt que perte silencieuse.;Filtre les lignes invalides sans les tracer.
Qualité & Ingénierie;Confirmé;Comment gérez-vous les évolutions de schéma sur une table de production ?;Ajout de colonnes en fin, valeurs par défaut, compatibilité ascendante des lecteurs, versionnage du schéma, migration progressive, communication aux consommateurs.;Fait un drop/recreate en production.
Qualité & Ingénierie;Senior;Comment organisez-vous la revue de code et la CI sur un projet data de plusieurs dizaines de milliers de lignes ?;Merge requests, tests unitaires obligatoires, build Maven en CI, analyse statique, conventions de nommage, découpage en modules, environnement de recette avec jeu de données réduit.;Pas de tests, revue optionnelle.
Mise en situation;Confirmé;Un contrôleur signale que le montant total d'un indicateur a bougé de 2% par rapport au mois précédent. Comment investiguez-vous ?;Isoler périmètre (nouveaux contrats, sorties), comparer les référentiels, décomposer par axe (portefeuille, segment), vérifier changements de code et de paramétrage, tracer les rejets, reproduire sur run précédent.;Conclut trop vite à un problème de données sans méthode.
Mise en situation;Confirmé;Vous héritez d'un job de 3000 lignes sans tests que personne ne comprend. Que faites-vous les deux premières semaines ?;Caractériser le comportement actuel (tests de caractérisation sur sorties), cartographier les entrées/sorties, isoler des morceaux purs, refactorer petit à petit sans changer les résultats, documenter.;Veut tout réécrire de zéro immédiatement.
Mise en situation;Senior;On vous demande de diviser par deux le temps d'un traitement critique. Comment priorisez-vous ?;Mesurer d'abord (Spark UI, étapes les plus coûteuses), loi d'Amdahl, cibler les shuffles et les lectures, quick wins (filtres/projections tôt, formats, partitionnement), puis architecture. Chiffrer coût vs gain.;Optimise à l'aveugle sans profiler.
Mise en situation;Senior;Vous êtes en désaccord technique avec un collègue senior sur un choix d'architecture. Comment gérez-vous ?;Expliciter les critères, prototyper/benchmarker, documenter le compromis, décider et s'engager même en désaccord, revoir plus tard avec des données.;Impose son avis ou abandonne sans argumenter.
Contexte métier / Banque;Confirmé;Avez-vous déjà travaillé sur des données financières ou réglementaires ? Quelles contraintes spécifiques ?;Auditabilité, traçabilité, délais de production réglementaires, sensibilité des données, gestion des habilitations, non-régression stricte, documentation des règles de calcul.;Voit la donnée réglementaire comme un pipeline technique ordinaire.
Contexte métier / Banque;Confirmé;Comment collaborez-vous avec les équipes métier (risque, finance) qui définissent les règles de calcul ?;Reformulation des specs, exemples chiffrés, jeu de test partagé, validation itérative, glossaire commun, remontée des cas limites.;Attend une spec parfaite avant de commencer.
Ouverture;Tous;Qu'avez-vous appris techniquement ces six derniers mois ? Comment vous tenez-vous à jour ?;Exemple concret et récent, sources identifiées, capacité à expliquer ce qui a changé dans sa pratique.;Réponse générique sans exemple.
Ouverture;Tous;Racontez un incident de production dont vous étiez responsable : que s'est-il passé et qu'avez-vous changé ensuite ?;Récit factuel, prise de responsabilité, analyse de cause racine, mesure corrective durable (test, alerte, garde-fou).;Ne reconnaît jamais d'erreur ou blâme les autres.
Ouverture;Tous;Quelles questions avez-vous sur l'équipe, le projet ou notre environnement technique ?;Questions préparées et pertinentes : périmètre, dette technique, organisation, perspectives.;Aucune question.
